OBJECTID,Site ID,Company,Corp,Site,State,PADD,Atmos. Crude Dist,Vacuum Dist,Catalytic Cracking,Hydro Cracking,"Thermal Cracking, Visbreaking",Catalytic Reforming,"Alkylates, Isomerization",Desulfurization,Fluid and Delayed Coking,Asphalt and Road Oil,Source,Period,Latitude,Longitude,Link_Imports,x,y
313,257,HF SINCLAIR WOODS CROSS REFINING LLC,HF SINCLAIR CORP,WOODS CROSS,Utah,4,41.4,0,18.2,15,0,8.4,8.3,26.2,0,1.8,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",40.886581,-111.904823,1,-12457187.9137,4995626.7536
314,262,PLACID REFINING CO,PLACID OIL CO,PORT ALLEN,Louisiana,3,82.5,27,25.5,0,0,11.5,7.5,57,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",30.477376,-91.210811,,-10153541.0354,3565060.8536
315,266,ERGON WEST VIRGINIA INC,ERGON INC,NEWELL,West Virginia,1,23,8.6,0,0,0,4.7,0,24.1,0,0.7,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",40.610826,-80.629399,,-8975623.6396,4955106.954
316,271,SAN JOAQUIN REFINING CO INC,SAN JOAQUIN REFINING CO INC,BAKERSFIELD,California,5,25,14.3,0,0,5,0,0,5.4,0,8,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",35.38733,-119.047922,,-13252354.057,4216643.1203
317,275,WRB REFINING LP,WRB REFINING LP,WOOD RIVER,Illinois,2,367.5,196.5,101,64,0,79.7,21.8,281.35,83.7,28,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",38.845944,-90.067283,1,-10026244.0807,4699628.3349
318,276,SHELL OIL PRODUCTS US,SHELL PLC,NORCO,Louisiana,3,250,91.3,118.8,44,0,40,18.1,189,28.5,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",30.001717,-90.40413,,-10063741.7172,3503770.5498
319,278,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,ANACORTES,Washington,5,122,48,54.5,0,0,29.5,25.7,105.5,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",48.494369,-122.562522,1,-13643597.5394,6189497.8594
320,279,MARTINEZ REFINING CO LLC,PBF ENERGY CO LLC,MARTINEZ,California,5,157,101,72,42.9,0,31,27.8,262.5,49.3,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",38.019952,-122.111017,1,-13593336.2327,4582244.7449
321,287,OHIO REFINING COMPANY LLC,CENOVUS MARKETING (USA) INC,TOLEDO,Ohio,2,160,72.5,55,32.5,0,42,11.5,117.5,36,9,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",41.680021,-83.453963,1,-9290052.6658,5113168.0023
322,288,LIMA REFINING COMPANY,CENOVUS MARKETING (USA) INC,LIMA,Ohio,2,185,57,45.3,26,0,55,23.2,158,23,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",40.715965,-84.12464,1,-9364712.088,4970536.4074
323,297,BP PRODUCTS NORTH AMERICA INC,BP PLC,WHITING,Indiana,2,440,276.2,177,0,0,67,59.9,584.6,102,29.5,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",41.668103,-87.480268,1,-9738258.8882,5111391.8127
324,300,TESORO REFINING & MARKETING CO,MARATHON PETROLEUM CORP,MANDAN,North Dakota,2,75.5,0,31.6,0,0,12.5,5.5,62.1,0,0,EIA-820 Refinery Capacity Report,"As of Jan. 1, 2024",46.849832,-100.883767,,-11230329.5717,5917597.186
