Date,Day,Month,Year,Company,Pipeline,Key Point,Latitude,Longitude,Direction Of Flow,Trade Type,Capacity (1000 m3/d),Throughput (1000 m3/d),Throughput (GJ/d)
2006-02-14,14,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51782.507820621424,42106.30078125,1714054.9475279152
2006-02-14,14,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14045.507761490497,9712.9599609375,386564.16470634565
2006-02-15,15,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51768.63832399824,49674.19921875,2025568.0641306192
2006-02-15,15,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14045.533935629976,11474.099609375,454433.985828124
2006-02-16,16,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51754.099439098565,51715.1015625,2115259.786412537
2006-02-16,16,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14045.204341154269,10407.400390625,412877.15696472675
2006-02-17,17,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51738.89560061689,48829.69921875,1987466.4012097567
2006-02-17,17,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14044.519078597275,12306.7998046875,490130.61165050045
2006-02-18,18,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51723.03144607386,27479.69921875,1118556.5946397781
2006-02-18,18,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14043.478356979856,11942.599609375,476051.116270341
2006-02-19,19,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51706.51181440175,48597.0,1974807.0489349365
2006-02-19,19,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14042.082493746042,10833.2998046875,431556.38962017745
2006-02-20,20,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51689.34174446842,50470.8984375,2049506.9275081158
2006-02-20,20,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14040.331914666256,11788.2001953125,469000.6030129343
2006-02-21,21,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51671.52647354033,50139.6015625,2035137.936229825
2006-02-21,21,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14038.227153707401,11689.2001953125,465251.20569401607
2006-02-22,22,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51653.07143568516,50329.6015625,2038716.3363395333
2006-02-22,22,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14035.768852870016,11934.099609375,473420.9750542939
2006-02-23,23,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51633.9822601142,49979.19921875,2020839.018472284
2006-02-23,23,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14032.957761992433,12580.7001953125,501016.31664847955
2006-02-24,24,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51614.26476946533,48894.5,1967051.8250980377
2006-02-24,24,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14029.794738522067,11378.2998046875,452983.7599478401
2006-02-25,25,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51593.924978027,48517.6015625,1951702.9944826365
2006-02-25,25,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14026.280747253863,11576.2001953125,461173.82601742074
2006-02-26,26,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51572.96908990371,50497.80078125,2041232.1648295075
2006-02-26,26,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14022.41686003605,11140.7998046875,443681.25575319305
2006-02-27,27,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51551.40349712363,50484.3984375,2038570.269712329
2006-02-27,27,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14018.204255443141,11497.5,457860.7533931732
2006-02-28,28,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51529.23477768892,52429.19921875,2116143.9132411033
2006-02-28,28,2,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,14013.644218416499,12306.400390625,489970.72368234396
2006-03-01,1,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51459.17838656003,50712.8984375,2047228.9707136452
2006-03-01,1,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13997.893949193269,11122.0,442228.52069854736
2006-03-02,2,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51434.666588607644,50791.3984375,2049241.6144423783
2006-03-02,2,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13991.959144786038,12807.900390625,510844.79562163353
2006-03-03,3,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51409.58727144439,50681.3984375,2031832.5444939137
2006-03-03,3,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13985.684913307858,11846.599609375,470744.7527891621
2006-03-04,4,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51383.94808483923,50371.30078125,2006930.979720667
2006-03-04,4,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13979.073168543724,11518.599609375,459175.15167063475
2006-03-05,5,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51357.75684933415,50120.5,2010884.4994335175
2006-03-05,5,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13972.125927227964,12477.5,497508.2791233063
2006-03-06,6,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51331.02155385878,50647.30078125,2032523.3762539476
2006-03-06,6,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13964.845308429065,12541.400390625,500622.58823456615
2006-03-07,7,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51303.750353293544,49718.30078125,1998113.9556302875
2006-03-07,7,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13957.233532903327,11970.400390625,476648.1888269633
2006-03-08,8,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51275.95156598227,41346.0,1661232.6100387573
2006-03-08,8,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13949.292922417468,13063.0,522347.5833892822
2006-03-09,9,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51247.63367119488,52438.5,2103652.530687332
2006-03-09,9,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13941.02589904044,11265.099609375,448953.65140762925
2006-03-10,10,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51218.805306541006,49802.80078125,2003667.9133618176
2006-03-10,10,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13932.434984404641,10606.2001953125,423816.3460163735
2006-03-11,11,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51189.47526533536,48933.69921875,1986404.7793353647
2006-03-11,11,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13923.522798936754,11778.7998046875,470761.7080112323
2006-03-12,12,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51159.65249391554,48731.1015625,1980436.771011293
2006-03-12,12,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13914.292061058457,12150.400390625,485733.3263703063
2006-03-13,13,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Border,49.0,-101.588,southeast,export,51129.346088913204,48751.5,1976302.911026001
2006-03-13,13,3,2006,Alliance Pipeline Ltd.,Alliance pipeline,Zone 2,55.8558,-119.591,southeast,intracanada,13904.74558635726,11995.5,479326.9903678894
